,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
3423,3423,005202,兴业稳天盈货币B,货币型,2021-09-22,0.0,0.2,0.59,1.22,1.78
3444,3444,005230,长盛货币B,货币型,2021-09-22,0.0,0.19,0.57,1.13,1.71
4877,4877,007730,平安金管家货币C,货币型,2021-09-22,0.0,0.21,0.57,1.16,1.71
6022,6022,009744,英大现金宝货币B,货币型,2021-09-22,0.0,0.16,0.49,1.02,1.53
6220,6220,010051,长城工资宝货币C,货币型,2021-09-22,0.0,0.2,0.58,1.18,1.7
6306,6306,010173,易方达增金宝货币B,货币型,2021-09-22,0.0,0.19,0.59,1.19,1.78
6324,6324,010208,平安日增利货币B,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.73
8040,8040,020007,国泰货币A,货币型,2021-09-22,0.0,0.19,0.57,1.18,1.74
8053,8053,020031,国泰现金管理货币A,货币型,2021-09-22,0.0,0.17,0.52,1.07,1.63
8054,8054,020032,国泰现金管理货币B,货币型,2021-09-22,0.0,0.0,0.1,0.62,0.82
8059,8059,040003,华安现金富利货币A,货币型,2021-09-22,0.0,0.17,0.52,1.0,1.48
8082,8082,040038,华安日日鑫货币A,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.56
8083,8083,040039,华安日日鑫货币B,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.74
8092,8092,041003,华安现金富利货币B,货币型,2021-09-22,0.0,0.19,0.58,1.12,1.66
8095,8095,050003,博时现金收益货币A,货币型,2021-09-23,0.0,0.17,0.5,1.03,1.57
8132,8132,070008,嘉实货币A,货币型,2021-09-22,0.0,0.18,0.53,1.07,1.57
8150,8150,070028,嘉实安心货币A,货币型,2021-09-22,0.0,0.17,0.47,0.92,1.37
8151,8151,070029,嘉实安心货币B,货币型,2021-09-22,0.0,0.19,0.53,1.04,1.55
8158,8158,070088,嘉实货币B,货币型,2021-09-22,0.0,0.2,0.59,1.19,1.75
8167,8167,080011,长盛货币A,货币型,2021-09-22,0.0,0.17,0.5,1.01,1.53
